date_label,start_time_label,pump_left_volume_ml,pump_right_volume_ml,pump_total_volume_ml,pump_duration_sec
2018/6/28,2018/6/28 7:04,52,29,81,1620
2018/7/1,2018/7/1 16:49,48,29,77,1620
2018/7/1,2018/7/1 21:32,24,14,38,1080
2018/7/2,2018/7/2 18:56,43,29,72,1380
2018/7/4,2018/7/4 2:21,39,27,66,1320
2018/7/5,2018/7/5 9:02,26,17,43,1020
2018/7/6,2018/7/6 7:46,5,-1,5,60
2018/7/11,2018/7/11 20:40,70,45,115,1140
2018/7/16,2018/7/16 12:07,30,27,57,1320
2018/7/17,2018/7/17 23:27,22,15,37,1560
2018/7/26,2018/7/26 13:51,60,34,94,1860
2018/7/31,2018/7/31 18:56,53,33,86,1800
2018/8/1,2018/8/1 16:43,57,33,90,1740
2018/8/6,2018/8/6 23:10,22,11,33,1140
2018/8/7,2018/8/7 4:24,56,35,91,1500
2018/8/11,2018/8/11 4:23,52,32,84,1920
2018/8/12,2018/8/12 9:51,49,29,78,2100
2018/3/30,2018/3/30 8:56,8,5,13,1320
2018/4/19,2018/4/19 0:22,15,10,25,1200
2018/4/19,2018/4/19 9:41,20,18,38,1200
2018/4/28,2018/4/28 16:10,33,29,62,1020
2018/5/9,2018/5/9 8:10,19,16,35,660
2018/5/11,2018/5/11 9:00,23,21,44,1020
2018/5/15,2018/5/15 9:20,33,34,67,1800
2018/5/19,2018/5/19 12:20,25,30,55,1140
2018/5/22,2018/5/22 20:21,21,24,45,1260
2018/5/29,2018/5/29 21:03,30,32,62,1680
2018/6/3,2018/6/3 14:58,35,27,62,1560
2018/6/5,2018/6/5 22:41,16,11,27,1080
2018/6/10,2018/6/10 2:30,35,15,50,1500
2018/6/11,2018/6/11 22:45,31,13,44,1500
2018/6/15,2018/6/15 17:53,52,27,79,2640
2018/6/19,2018/6/19 22:50,11,10,21,1080
2018/6/21,2018/6/21 10:20,20,18,38,1140
2018/6/24,2018/6/24 8:55,32,16,48,780
2018/7/2,2018/7/2 4:43,42,25,67,1740
2018/7/3,2018/7/3 3:21,55,35,90,1320
2018/7/3,2018/7/3 6:16,40,25,65,1080
2018/7/6,2018/7/6 19:28,32,25,57,1440
2018/7/9,2018/7/9 23:08,60,35,95,1680
2018/7/19,2018/7/19 2:37,45,28,73,1800
2018/7/19,2018/7/19 6:43,55,38,93,1920
2018/7/20,2018/7/20 21:45,28,17,45,780
2018/7/23,2018/7/23 5:00,73,37,110,1560
2018/7/28,2018/7/28 23:40,27,13,40,1500
2018/8/5,2018/8/5 18:37,24,17,41,1140
2018/8/5,2018/8/5 21:23,28,22,50,1200
2018/8/6,2018/8/6 17:39,37,27,64,1200
2018/8/10,2018/8/10 7:42,25,21,46,840
2018/3/30,2018/3/30 5:15,9,5,14,960
2018/4/30,2018/4/30 2:00,43,45,88,1620
2018/4/30,2018/4/30 13:04,17,15,32,780
2018/5/3,2018/5/3 8:16,23,25,48,1140
2018/5/9,2018/5/9 2:03,45,25,70,1800
2018/5/9,2018/5/9 5:35,21,30,51,1440
2018/5/18,2018/5/18 4:58,35,29,64,1260
2018/6/2,2018/6/2 6:09,30,21,51,1440
2018/6/5,2018/6/5 8:56,27,7,34,1140
2018/6/6,2018/6/6 13:22,32,26,58,1200
2018/6/6,2018/6/6 15:49,29,26,55,1560
2018/6/12,2018/6/12 5:49,21,10,31,1200
2018/6/17,2018/6/17 5:37,39,24,63,1440
2018/6/18,2018/6/18 8:54,49,20,69,1920
2018/6/19,2018/6/19 6:37,49,30,79,1800
2018/6/21,2018/6/21 15:45,33,12,45,780
2018/6/22,2018/6/22 6:27,59,26,85,1560
2018/6/28,2018/6/28 19:03,24,20,44,1080
2018/6/29,2018/6/29 6:45,56,29,85,1320
2018/7/7,2018/7/7 3:53,55,30,85,1740
2018/7/11,2018/7/11 3:12,70,43,113,1680
2018/7/23,2018/7/23 16:19,36,24,60,1680
2018/7/29,2018/7/29 23:36,29,21,50,1020
2018/8/1,2018/8/1 23:35,40,17,57,1200
2018/8/3,2018/8/3 19:52,2,-1,2,60
2018/8/5,2018/8/5 15:43,51,28,79,1440
2018/8/6,2018/8/6 0:06,55,18,73,900
2018/8/6,2018/8/6 14:11,36,22,58,1380
2018/8/8,2018/8/8 19:37,21,21,42,1560
2018/8/11,2018/8/11 21:37,32,21,53,1380
2018/7/29,2018/7/29 9:25,50,30,80,1920
2018/7/30,2018/7/30 14:11,56,27,83,1440
2018/7/30,2018/7/30 19:30,26,13,39,960
2018/8/1,2018/8/1 2:16,35,24,59,1440
2018/8/7,2018/8/7 17:26,24,18,42,1260
2018/8/8,2018/8/8 15:57,19,5,24,720
2018/7/14,2018/7/14 19:17,38,28,66,1140
2018/7/15,2018/7/15 8:31,29,20,49,960
2018/7/22,2018/7/22 14:11,4,-1,4,60
2018/7/24,2018/7/24 15:30,33,20,53,1860
2018/7/26,2018/7/26 9:18,20,18,38,1560
2018/7/28,2018/7/28 8:35,70,39,109,2400
2018/7/29,2018/7/29 13:15,40,23,63,1620
2018/8/7,2018/8/7 11:08,50,26,76,1440
2018/8/9,2018/8/9 18:57,33,24,57,1320
2018/4/19,2018/4/19 17:55,30,35,65,2220
2018/5/4,2018/5/4 4:28,25,28,53,1140
2018/5/7,2018/5/7 14:43,21,11,32,1020
2018/5/10,2018/5/10 12:04,21,15,36,900
2018/5/12,2018/5/12 17:36,5,10,15,720
2018/5/16,2018/5/16 21:40,18,15,33,1140
2018/5/17,2018/5/17 8:16,23,25,48,960
2018/5/19,2018/5/19 16:51,26,23,49,1260
2018/5/26,2018/5/26 11:50,14,15,29,780
2018/5/27,2018/5/27 17:50,28,28,56,1440
2018/5/31,2018/5/31 8:33,24,31,55,840
2018/6/9,2018/6/9 9:39,13,9,22,1860
2018/6/12,2018/6/12 2:16,41,22,63,1680
2018/6/15,2018/6/15 11:46,31,21,52,1320
2018/6/16,2018/6/16 22:45,22,10,32,780
2018/6/17,2018/6/17 15:07,32,16,48,1020
2018/6/18,2018/6/18 1:38,27,19,46,1140
2018/6/18,2018/6/18 12:46,40,18,58,1680
