date_label,start_time_label,pump_left_volume_ml,pump_right_volume_ml,pump_total_volume_ml,pump_duration_sec
2018/6/14,2018/6/14 19:27,34,20,54,1500
2018/6/15,2018/6/15 2:22,32,19,51,1680
2018/6/17,2018/6/17 12:39,39,20,59,1560
2018/6/18,2018/6/18 21:24,25,17,42,1080
2018/6/29,2018/6/29 19:00,45,27,72,1080
2018/6/30,2018/6/30 3:11,45,31,76,1740
2018/7/2,2018/7/2 12:52,51,23,74,1200
2018/7/9,2018/7/9 15:16,41,23,64,1080
2018/7/12,2018/7/12 15:09,45,25,70,1080
2018/7/13,2018/7/13 19:07,27,18,45,1200
2018/7/15,2018/7/15 23:20,39,27,66,1920
2018/7/19,2018/7/19 21:49,17,8,25,900
2018/7/21,2018/7/21 9:05,50,39,89,1080
2018/7/21,2018/7/21 13:13,34,27,61,1260
2018/7/22,2018/7/22 4:55,67,47,114,1680
2018/4/6,2018/4/6 18:20,20,10,30,1080
2018/4/20,2018/4/20 18:18,20,30,50,3000
2018/4/22,2018/4/22 15:49,20,17,37,1080
2018/4/23,2018/4/23 9:30,19,19,38,900
2018/4/24,2018/4/24 18:44,37,30,67,1320
2018/5/11,2018/5/11 5:45,25,24,49,1260
2018/5/15,2018/5/15 17:17,32,35,67,1380
2018/5/17,2018/5/17 19:45,23,37,60,1080
2018/5/19,2018/5/19 22:09,15,22,37,1020
2018/5/20,2018/5/20 15:10,20,29,49,960
2018/5/22,2018/5/22 12:00,33,33,66,1440
2018/6/4,2018/6/4 8:01,47,31,78,1680
2018/6/9,2018/6/9 16:56,9,6,15,660
2018/6/11,2018/6/11 10:08,36,24,60,1260
2018/6/14,2018/6/14 1:22,26,17,43,1380
2018/6/14,2018/6/14 21:39,42,23,65,1740
2018/6/23,2018/6/23 19:16,34,24,58,1260
2018/6/24,2018/6/24 22:50,28,13,41,1020
2018/6/25,2018/6/25 11:50,42,31,73,1980
2018/6/28,2018/6/28 2:35,49,25,74,1920
2018/7/2,2018/7/2 1:24,25,18,43,960
2018/7/4,2018/7/4 14:23,41,22,63,960
2018/7/5,2018/7/5 7:17,40,25,65,1140
2018/7/15,2018/7/15 4:19,50,32,82,1380
2018/7/18,2018/7/18 23:01,19,10,29,900
2018/7/19,2018/7/19 20:21,33,25,58,1620
2018/7/21,2018/7/21 23:35,40,26,66,1680
2018/7/26,2018/7/26 2:24,40,22,62,1200
2018/7/26,2018/7/26 17:16,44,33,77,1620
2018/7/27,2018/7/27 15:55,39,25,64,1260
2018/7/28,2018/7/28 14:13,54,26,80,1800
2018/8/3,2018/8/3 9:13,29,21,50,840
2018/7/27,2018/7/27 0:03,2,1,3,60
2018/7/31,2018/7/31 8:21,31,16,47,1500
2018/8/2,2018/8/2 10:12,36,22,58,1980
2018/8/2,2018/8/2 21:32,33,16,49,960
2018/8/9,2018/8/9 5:11,55,41,96,1980
2018/8/11,2018/8/11 11:36,32,17,49,1140
2018/8/3,2018/8/3 12:43,44,27,71,1980
2018/8/10,2018/8/10 3:59,61,34,95,2280
2018/8/11,2018/8/11 20:04,23,11,34,1320
2018/8/12,2018/8/12 19:52,30,19,49,1140
